song_name,artist_name,release_date,popularity,genres,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
我們的基因,Kay Tse,2019-11-06,51,c-pop,57,0.701,0.635,279547.0,0.445,0.0,1,0.18100000000000002,-8.185,0,0.0333,131.399,0.436
忘記和記,Juno Mak,2019-10-22,50,c-pop,55,0.65,0.6779999999999999,157156.0,0.498,0.0,6,0.0602,-13.582,0,0.0407,140.053,0.406
Two at a time,AGA,2019-10-30,53,c-pop,54,0.6859999999999999,0.763,261639.0,0.561,2.5e-06,8,0.111,-6.806,1,0.028999999999999998,89.251,0.37200000000000005
"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲",Pakho Chau,2019-10-14,51,c-pop,55,0.71,0.485,220286.0,0.377,0.0,10,0.11900000000000001,-9.091000000000001,1,0.03,139.976,0.355
爸爸的禮物,Jason Chan,2019-11-15,38,c-pop,54,0.695,0.5820000000000001,272909.0,0.413,0.0,2,0.243,-8.033999999999999,0,0.024,82.984,0.214
富上代,Dear Jane,2019-10-31,44,c-pop,54,0.0012,0.32299999999999995,250185.0,0.716,0.0006349999999999999,11,0.0888,-5.171,0,0.0422,138.296,0.244
願榮光歸香港,湯瑪士＆眾香港人,2019-09-14,57,none,0,0.7559999999999999,0.258,105714.0,0.32899999999999996,1.07e-05,0,0.29600000000000004,-11.219000000000001,1,0.0297,83.57700000000001,0.41200000000000003
切膚之愛,JUDE,2019-09-25,47,cantopop,36,0.818,0.535,231986.0,0.436,0.0,2,0.10300000000000001,-6.69,1,0.028999999999999998,142.056,0.20199999999999999
逃生門,JW,2019-07-30,53,cantopop,49,0.711,0.444,283800.0,0.53,0.0,6,0.121,-7.29,1,0.0443,143.333,0.449
說分手,Shiga Lin,2019-11-12,44,c-pop,50,0.281,0.489,263875.0,0.773,0.0,5,0.087,-5.216,1,0.0366,95.11200000000001,0.491
我們與愛的距離,Alfred Hui,2019-08-06,50,c-pop,52,0.618,0.604,231265.0,0.465,0.0,11,0.145,-6.564,1,0.0325,119.859,0.508
幸福相擁,Jill Vidal,2019-09-11,50,cantopop,42,0.226,0.513,240331.0,0.626,0.0,1,0.11800000000000001,-6.141,1,0.0289,148.102,0.365
拾荒者之歌,黎曉陽,2019-11-04,40,cantopop,31,0.688,0.542,233334.0,0.26,4.73e-05,7,0.213,-12.222000000000001,1,0.0312,119.90899999999999,0.23800000000000002
你可能未必不喜歡我,Alfred Hui,2019-10-29,45,c-pop,52,0.845,0.585,285303.0,0.311,0.000293,3,0.081,-10.005,1,0.0417,76.95100000000001,0.275
逃生門 (feat. 王灝兒) - 門外版,Endy Chow,2019-11-13,48,c-pop,50,0.627,0.539,269236.0,0.43700000000000006,0.0,1,0.0875,-9.871,1,0.0863,147.95,0.35600000000000004
望,Charmaine Fong,2019-10-03,49,c-pop,50,0.746,0.688,250903.0,0.34299999999999997,1.47e-06,11,0.135,-9.211,1,0.0317,115.126,0.295
七折,Jason Chan,2019-08-07,49,c-pop,54,0.542,0.6679999999999999,255789.0,0.37799999999999995,0.0,2,0.187,-9.586,1,0.0344,116.398,0.36700000000000005
講,Jace Chan,2019-11-07,39,hong kong hip hop,29,0.721,0.561,190968.0,0.415,2.64e-06,7,0.0913,-10.184,0,0.0287,92.98100000000001,0.13
一秒,Mag Lam,2019-10-23,45,cantopop,45,0.871,0.485,240919.0,0.536,1.13e-06,0,0.198,-8.238,0,0.0377,95.895,0.46799999999999997
愛沒懷疑,Deep Ng,2019-11-14,40,c-pop,42,0.75,0.46799999999999997,240218.0,0.574,0.0,1,0.0948,-7.226,1,0.0337,130.138,0.325
